timestamp,test_id,pid_p,pid_i,pid_d,target_left,target_right,actual_speed_left,actual_speed_right,pos_left,pos_right,error_left,error_right
1.596217,5,3.500000,0.050000,0.100000,200,200,203.310000,191.350000,4239.000000,4228.000000,-3.310000,8.650000
1.863251,5,3.500000,0.050000,0.100000,200,200,191.350000,203.310000,4679.000000,4669.000000,8.650000,-3.310000
0.000002,6,3.500000,0.050000,0.100000,300,300,71.760000,47.840000,5332.000000,5315.000000,228.240000,252.160000
0.266121,6,3.500000,0.050000,0.100000,300,300,251.150000,239.190000,5873.000000,5851.000000,48.850000,60.810000
0.533253,6,3.500000,0.050000,0.100000,300,300,275.070000,275.070000,6472.000000,6449.000000,24.930000,24.930000
0.801914,6,3.500000,0.050000,0.100000,300,300,275.070000,275.070000,7093.000000,7071.000000,24.930000,24.930000
1.066013,6,3.500000,0.050000,0.100000,300,300,275.070000,275.070000,7705.000000,7682.000000,24.930000,24.930000
1.330196,6,3.500000,0.050000,0.100000,300,300,287.030000,287.030000,8350.000000,8328.000000,12.970000,12.970000
1.596759,6,3.500000,0.050000,0.100000,300,300,287.030000,298.990000,8979.000000,8959.000000,12.970000,1.010000
1.864190,6,3.500000,0.050000,0.100000,300,300,287.030000,287.030000,9639.000000,9619.000000,12.970000,12.970000
0.000001,7,3.500000,0.050000,0.100000,500,500,47.840000,59.800000,10679.000000,10657.000000,452.160000,440.200000
0.265649,7,3.500000,0.050000,0.100000,500,500,418.580000,418.580000,11612.000000,11579.000000,81.420000,81.420000
0.531810,7,3.500000,0.050000,0.100000,500,500,442.500000,430.540000,12564.000000,12528.000000,57.500000,69.460000
0.799830,7,3.500000,0.050000,0.100000,500,500,454.460000,466.420000,13590.000000,13549.000000,45.540000,33.580000
1.066115,7,3.500000,0.050000,0.100000,500,500,466.420000,466.420000,14601.000000,14560.000000,33.580000,33.580000
1.329383,7,3.500000,0.050000,0.100000,500,500,478.380000,466.420000,15671.000000,15628.000000,21.620000,33.580000
1.596095,7,3.500000,0.050000,0.100000,500,500,490.340000,478.380000,16758.000000,16712.000000,9.660000,21.620000
1.861630,7,3.500000,0.050000,0.100000,500,500,478.380000,478.380000,17815.000000,17769.000000,21.620000,21.620000
0.000001,8,2.400000,0.040000,0.200000,100,100,0.000000,-0.000000,28.000000,22.000000,100.000000,100.000000
0.267197,8,2.400000,0.040000,0.200000,100,100,83.720000,71.760000,181.000000,167.000000,16.280000,28.240000
0.535550,8,2.400000,0.040000,0.200000,100,100,95.680000,71.760000,377.000000,363.000000,4.320000,28.240000
0.804080,8,2.400000,0.040000,0.200000,100,100,95.680000,95.680000,587.000000,578.000000,4.320000,4.320000
1.070014,8,2.400000,0.040000,0.200000,100,100,95.680000,95.680000,797.000000,792.000000,4.320000,4.320000
1.334041,8,2.400000,0.040000,0.200000,100,100,95.680000,95.680000,1018.000000,1022.000000,4.320000,4.320000
1.598669,8,2.400000,0.040000,0.200000,100,100,95.680000,95.680000,1234.000000,1243.000000,4.320000,4.320000
1.868026,8,2.400000,0.040000,0.200000,100,100,95.680000,107.640000,1459.000000,1475.000000,4.320000,-7.640000
0.000000,9,2.400000,0.040000,0.200000,200,200,23.920000,11.960000,1773.000000,1770.000000,176.080000,188.040000
0.265515,9,2.400000,0.040000,0.200000,200,200,143.510000,131.550000,2097.000000,2086.000000,56.490000,68.450000
